date,permno,prc,ret,vol,shrout,bid,ask,ticker,market_cap,spread
2021-04-30,14593,131.46001,-0.015133,109796210.0,16687631.0,131.50999,131.55,NVDA,2193756138.13631,0.04001000000002364
2021-05-03,14593,132.53999,0.008215,75091924.0,16687631.0,132.55,132.56,NVDA,2211778445.86369,0.009999999999990905
2021-05-04,14593,127.85,-0.035386,137435341.0,16687631.0,127.93,127.95,NVDA,2133513623.35,0.01999999999999602
2021-05-05,14593,128.10001,0.001955,83940839.0,16687631.0,128.14999,128.17,NVDA,2137685697.97631,0.020009999999984984
2021-05-06,14593,129.74001,0.012803,78537744.0,16687631.0,129.73,129.74001,NVDA,2165053412.8163104,0.010010000000022501
2021-05-07,14593,130.21001,0.005318,79293895.0,16687631.0,130.19,130.21001,NVDA,2172896599.38631,0.020010000000013406
2021-05-10,14593,126.85,-0.025805,88012052.0,16687631.0,126.85,126.86,NVDA,2116825992.35,0.010000000000005116
2021-05-11,14593,125.91,-0.00741,126018194.0,16687631.0,125.84,125.85,NVDA,2101139619.21,0.009999999999990905
2021-05-12,14593,122.77,-0.024939,112102027.0,16687631.0,122.82,122.83,NVDA,2048740457.87,0.010000000000005116
2021-05-13,14593,124.97,0.01792,105797826.0,16687631.0,124.94,124.95,NVDA,2085453246.07,0.010000000000005116
2021-05-14,14593,127.45,0.019845,81863139.0,16687631.0,127.43,127.45,NVDA,2126838570.95,0.01999999999999602
2021-05-17,14593,126.27,-0.009259,74211768.0,16687631.0,126.24,126.27,NVDA,2107147166.37,0.030000000000001137
2021-05-18,14593,124.85,-0.011246,63296379.0,16687631.0,124.86,124.87,NVDA,2083450730.35,0.010000000000005116
2021-05-19,14593,124.69,-0.001282,92520046.0,16687631.0,124.69,124.71,NVDA,2080780709.3899999,0.01999999999999602
2021-05-20,14593,127.31,0.021012,76812687.0,16687631.0,127.31,127.32,NVDA,2124502302.6100001,0.009999999999990905
2021-05-21,14593,125.43,-0.014767,79269170.0,16687631.0,125.44,125.45,NVDA,2093129556.3300002,0.010000000000005116
2021-05-24,14593,127.1,0.013314,63077553.0,16687631.0,127.1,127.11,NVDA,2120997900.1,0.010000000000005116
2021-05-25,14593,126.9,-0.001574,71980547.0,16687631.0,126.93,126.96,NVDA,2117660373.9,0.029999999999986926
2021-05-26,14593,126.85,-0.000394,56550481.0,16687631.0,126.85,126.87,NVDA,2116825992.35,0.020000000000010232
2021-05-27,14593,125.28,-0.012377,94585371.0,16687631.0,125.29,125.32,NVDA,2090626411.68,0.029999999999986926
